Rk,Player,Pos,90s,xG,xAG,Cmp%,KP,SoT%,Succ%,Tkl%,Tkl+Int,Def 3rd,Clr,CrsPA
455,Harry Toffolo,DF,6.8,0.02,0.10,66.5,0.59,0.0,37.5,66.7,2.35,0.88,3.24,0.59
456,Takehiro Tomiyasu,DF,5.6,0.01,0.10,83.1,0.71,0.0,33.3,75.0,5.54,1.25,2.50,0.36
457,James Tomkins,DF,1.7,0.02,0.00,81.1,0.00,0.0,100.0,50.0,2.35,0.59,4.12,0.00
458,Ivan Toney,FW,17.9,0.59,0.14,60.1,0.95,37.5,22.2,50.0,1.23,0.17,1.01,0.17
459,Adama Traoré,FWMF,9.0,0.08,0.11,66.7,1.22,30.0,35.4,50.0,1.00,0.22,0.56,0.89
460,Boubacar Traoré,MF,4.3,0.02,0.04,77.6,0.23,0.0,42.9,33.3,3.95,0.93,0.23,0.00
461,Mark Travers,GK,10.5,0.00,0.00,75.3,0.00,,,,0.00,0.00,0.57,0.00
462,Kieran Trippier,DF,19.7,0.02,0.32,71.4,2.99,25.0,45.0,54.9,3.55,1.27,1.83,1.02
463,Leandro Trossard,FWMF,0.1,0.00,0.00,80.0,0.00,,100.0,,10.0,10.0,0.00,0.00
464,Leandro Trossard,FWMF,14.6,0.30,0.14,71.6,1.58,44.7,29.7,25.0,1.16,0.55,0.07,0.48
465,Kostas Tsimikas,DF,4.9,0.13,0.17,76.3,2.45,28.6,22.2,70.0,2.86,1.43,1.63,0.61
466,Deniz Undav,FWMF,1.1,0.51,0.15,85.2,2.73,16.7,,,1.82,0.91,0.00,0.00
467,Yan Valery,DF,0.5,0.00,0.00,65.2,0.00,,,,0.00,0.00,6.00,0.00
468,Virgil van Dijk,DF,16.5,0.06,0.01,89.1,0.12,27.8,100.0,50.0,1.76,0.42,4.24,0.00
469,Raphaël Varane,DF,12.4,0.00,0.01,85.9,0.24,0.0,50.0,40.0,2.10,1.13,5.24,0.00
470,Jamie Vardy,FW,12.6,0.20,0.05,54.5,0.63,43.8,27.3,50.0,0.71,0.32,1.51,0.08
471,Joël Veltman,DF,13.3,0.04,0.02,81.3,0.23,20.0,37.5,73.3,3.76,2.03,2.86,0.23
472,Fabio Vieira,MFFW,2.8,0.12,0.41,78.4,1.43,28.6,30.0,66.7,2.50,1.07,0.36,0.36
473,Rúben Vinagre,DFMF,0.3,0.00,0.00,62.5,0.00,,33.3,50.0,6.67,3.33,3.33,0.00
474,Carlos Vinícius,FW,4.7,0.22,0.10,56.8,0.85,50.0,0.0,,0.43,0.00,1.06,0.00
475,Theo Walcott,FWMF,1.3,0.00,0.00,66.7,0.00,,0.0,100.0,2.31,0.77,0.00,0.00
476,Kyle Walker,DF,7.8,0.04,0.02,88.4,0.51,0.0,75.0,0.0,0.77,0.13,0.64,0.00
477,Kyle Walker-Peters,DF,15.6,0.05,0.06,72.6,0.64,33.3,39.6,50.0,2.69,1.03,1.73,0.38
478,Aaron Wan-Bissaka,DF,5.8,0.01,0.09,80.5,1.03,0.0,44.4,90.0,4.66,1.90,2.93,0.34
479,Danny Ward,GK,20.0,0.00,0.00,75.8,0.00,,,50.0,0.05,0.05,0.55,0.00
480,Joel Ward,DF,14.4,0.00,0.00,74.8,0.14,0.0,66.7,87.5,2.85,1.25,3.19,0.07
481,James Ward-Prowse,MF,20.0,0.13,0.19,75.6,2.10,42.9,40.0,38.5,3.05,0.65,0.90,0.35
482,Ollie Watkins,FW,17.1,0.35,0.12,70.0,0.88,48.7,21.4,33.3,0.88,0.06,0.88,0.06
483,Adam Webster,DF,13.0,0.10,0.00,86.2,0.15,7.7,16.7,62.5,1.77,0.46,2.85,0.08
484,Wout Weghorst,FW,1.8,0.06,0.03,66.7,0.56,0.0,0.0,0.0,3.89,0.56,1.11,0.00
485,Danny Welbeck,FW,12.1,0.35,0.20,82.2,1.24,37.9,42.1,60.0,0.91,0.00,0.91,0.00
486,Ben White,DF,16.8,0.02,0.07,84.0,0.77,0.0,31.3,72.5,3.04,1.01,2.56,0.36
487,Harvey White,MF,0.1,0.00,0.00,37.5,0.00,,,0.0,0.00,0.00,0.00,10.0
488,Neco Williams,DF,12.5,0.08,0.11,65.2,0.96,26.3,41.4,60.0,5.76,2.48,2.00,0.64
489,Willian,FW,11.8,0.19,0.16,79.0,1.69,45.0,50.0,50.0,1.10,0.25,0.34,0.08
490,Joe Willock,MF,16.5,0.20,0.21,80.1,1.15,28.1,24.4,52.9,2.67,0.61,0.67,0.30
491,Callum Wilson,FW,11.5,0.64,0.12,69.3,0.96,39.5,33.3,0.0,0.70,0.00,0.35,0.00
492,Harry Wilson,FW,3.7,0.29,0.03,75.0,0.54,12.5,80.0,100.0,1.89,0.54,0.81,0.00
493,Yoane Wissa,FW,9.4,0.32,0.15,70.9,0.53,40.0,41.7,85.7,1.81,0.32,1.06,0.00
494,Maximilian Wöber,DF,1.3,0.15,0.00,70.0,0.00,0.0,,50.0,3.85,0.77,1.54,0.00
495,Chris Wood,FW,5.0,0.37,0.06,62.3,0.60,37.5,50.0,60.0,1.20,0.00,1.40,0.00
496,Chris Wood,FW,0.8,0.00,0.05,46.2,1.25,,,,1.25,0.00,0.00,0.00
497,Joe Worrall,DF,13.0,0.02,0.04,79.5,0.15,0.0,100.0,75.0,3.46,1.54,4.08,0.00
498,Granit Xhaka,MF,18.0,0.11,0.20,85.1,1.72,23.8,50.0,60.0,1.44,0.39,1.61,0.11
499,Ryan Yates,MF,15.5,0.14,0.07,78.1,0.39,20.0,40.0,70.6,2.19,0.71,2.19,0.00
500,Ashley Young,DF,12.6,0.01,0.06,73.6,0.71,28.6,40.0,84.6,3.65,1.98,2.78,0.32
501,Wilfried Zaha,FWMF,18.5,0.27,0.13,80.0,1.14,41.0,35.2,53.3,2.22,0.59,0.43,0.11
502,Denis Zakaria,MF,3.2,0.06,0.00,89.9,0.00,0.0,66.7,25.0,1.88,0.63,2.50,0.00
503,Jordan Zemura,DF,11.5,0.01,0.12,70.0,1.22,0.0,34.8,64.3,3.48,1.30,1.83,0.35
504,Oleksandr Zinchenko,DF,10.0,0.07,0.05,88.0,0.60,25.0,80.0,50.0,3.00,0.50,1.70,0.20
505,Hakim Ziyech,FWMF,4.8,0.10,0.25,62.7,1.88,20.0,42.9,50.0,4.17,2.08,1.04,1.04
506,Kurt Zouma,DF,14.2,0.08,0.00,85.6,0.00,27.3,0.0,50.0,1.20,0.14,5.42,0.00
507,Martin Ødegaard,MF,16.9,0.32,0.30,78.7,2.31,31.3,58.3,28.6,1.24,0.41,0.36,0.06
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/stats/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_standard"">View Original Table</a><br>Generated 1/27/2023.","Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/stats/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_standard"">View Original Table</a><br>Generated 1/27/2023.",,,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/passing/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_passing"">View Original Table</a><br>Generated 1/27/2023.",,,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 1/27/2023.",,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 1/27/2023.",,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/passing/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_passing"">View Original Table</a><br>Generated 1/27/2023."
,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/stats/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_standard"">View Original Table</a><br>Generated 1/26/2023.",,,,,,,,,,,,,
